Compound, Source, Atom Idx, C6_POSTG,C6_POSTG (Ha A^6), CGenFF Atom Type, C6_CGenFF, OPLS Atom Type, C6_OPLS, GAFF Atom Type, C6_GAFF
ethylene-carbonate, ethylene-carbonate_T521.15,1,10.8,0.39690216, OG3C51,0.294, opls_773,-0.45, os,0.3
ethylene-carbonate, ethylene-carbonate_T521.15,2,19.5,0.7166289, CG3C52,0.36, opls_774,0.21, c3,0.34
ethylene-carbonate, ethylene-carbonate_T521.15,3,2.16,0.079380432, HGA2,0.239, opls_777,0.03, h1,0.247
ethylene-carbonate, ethylene-carbonate_T521.15,4,2.1,0.07717542, HGA2,0.239, opls_777,0.03, h1,0.247
ethylene-carbonate, ethylene-carbonate_T521.15,5,19.5,0.7166289, CG3C52,0.36, opls_774,0.21, c3,0.34
ethylene-carbonate, ethylene-carbonate_T521.15,6,2.1,0.07717542, HGA2,0.239, opls_777,0.03, h1,0.247
ethylene-carbonate, ethylene-carbonate_T521.15,7,2.16,0.079380432, HGA2,0.239, opls_777,0.03, h1,0.247
ethylene-carbonate, ethylene-carbonate_T521.15,8,10.8,0.39690216, OG3C51,0.294, opls_773,-0.45, os,0.3
ethylene-carbonate, ethylene-carbonate_T521.15,9,22.4,0.82320448, CG251O,0.372, opls_772,0.86, c,0.34
ethylene-carbonate, ethylene-carbonate_T521.15,10,14.5,0.5328779, OG2D1,0.303, opls_771,-0.5, o,0.296
pyridine, pyridine_T298.15,1,23.6,0.86730472, CG2R61,0.355, opls_521,0.473, ca,0.34
pyridine, pyridine_T298.15,2,2.52,0.092610504, HGR62,0.196, opls_524,0.012, h4,0.251
pyridine, pyridine_T298.15,3,23.2,0.85260464, CG2R61,0.355, opls_522,-0.447, ca,0.34
pyridine, pyridine_T298.15,4,2.43,0.089302986, HGR61,0.242, opls_525,0.155, ha,0.26
pyridine, pyridine_T298.15,5,23,0.8452546, CG2R61,0.355, opls_523,0.227, ca,0.34
pyridine, pyridine_T298.15,6,2.37,0.087097974, HGR61,0.242, opls_526,0.065, ha,0.26
pyridine, pyridine_T298.15,7,23.2,0.85260464, CG2R61,0.355, opls_522,-0.447, ca,0.34
pyridine, pyridine_T298.15,8,2.43,0.089302986, HGR61,0.242, opls_525,0.155, ha,0.26
pyridine, pyridine_T298.15,9,23.6,0.86730472, CG2R61,0.355, opls_521,0.473, ca,0.34
pyridine, pyridine_T298.15,10,2.52,0.092610504, HGR62,0.196, opls_524,0.012, h4,0.251
pyridine, pyridine_T298.15,11,18.1,0.66517862, NG2R60,0.337, opls_520,-0.678, nb,0.325
isoquinoline, isoquinoline_T303.15,1,21.4,0.78645428, CG2R61,0.355, opls_610,-0.307, ca,0.34
isoquinoline, isoquinoline_T303.15,2,23.1,0.84892962, CG2R61,0.355, opls_609,-0.07, ca,0.34
isoquinoline, isoquinoline_T303.15,3,2.48,0.091140496, HGR61,0.242, opls_618,0.114, ha,0.26
isoquinoline, isoquinoline_T303.15,4,23.3,0.85627966, CG2R61,0.355, opls_608,-0.112, ca,0.34
isoquinoline, isoquinoline_T303.15,5,2.44,0.089670488, HGR61,0.242, opls_617,0.113, ha,0.26
isoquinoline, isoquinoline_T303.15,6,23.2,0.85260464, CG2R61,0.355, opls_607,-0.197, ca,0.34
isoquinoline, isoquinoline_T303.15,7,2.43,0.089302986, HGR61,0.242, opls_616,0.133, ha,0.26
isoquinoline, isoquinoline_T303.15,8,23.2,0.85260464, CG2R61,0.355, opls_606,-0.008, ca,0.34
isoquinoline, isoquinoline_T303.15,9,2.49,0.091507998, HGR61,0.242, opls_615,0.119, ha,0.26
isoquinoline, isoquinoline_T303.15,10,21.4,0.78645428, CG2R61,0.355, opls_612,-0.051, ca,0.34
isoquinoline, isoquinoline_T303.15,11,23.2,0.85260464, CG2R61,0.355, opls_605,-0.359, ca,0.34
isoquinoline, isoquinoline_T303.15,12,2.49,0.091507998, HGR61,0.242, opls_614,0.146, ha,0.26
isoquinoline, isoquinoline_T303.15,13,23.8,0.87465476, CG2R61,0.355, opls_604,0.425, ca,0.34
isoquinoline, isoquinoline_T303.15,14,2.55,0.09371301, HGR62,0.196, opls_613,0.028, h4,0.251
isoquinoline, isoquinoline_T303.15,15,18.1,0.66517862, NG2R60,0.337, opls_603,-0.694, nb,0.325
isoquinoline, isoquinoline_T303.15,16,23.3,0.85627966, CG2R61,0.355, opls_611,0.563, ca,0.34
isoquinoline, isoquinoline_T303.15,17,2.56,0.094080512, HGR62,0.196, opls_619,0.157, h4,0.251
sulfolane, sulfolane_T473.15,1,20.4,0.74970408, CG3C52,0.36, opls_484,0.39, c3,0.34
sulfolane, sulfolane_T473.15,2,2.37,0.087097974, HGA2,0.239, opls_485,-0.06, h1,0.247
sulfolane, sulfolane_T473.15,3,2.32,0.085260464, HGA2,0.239, opls_485,-0.06, h1,0.247
sulfolane, sulfolane_T473.15,4,19.8,0.72765396, CG3C52,0.36, opls_136,-0.12, c3,0.34
sulfolane, sulfolane_T473.15,5,2.31,0.084892962, HGA2,0.239, opls_140,0.06, hc,0.265
sulfolane, sulfolane_T473.15,6,2.22,0.081585444, HGA2,0.239, opls_140,0.06, hc,0.265
sulfolane, sulfolane_T473.15,7,19.8,0.72765396, CG3C52,0.36, opls_136,-0.12, c3,0.34
sulfolane, sulfolane_T473.15,8,2.22,0.081585444, HGA2,0.239, opls_140,0.06, hc,0.265
